Datum,Aktive Faelle,Genesene,Todesfaelle,bestaetigte Faelle kumulativ,7-Tages-Inzidenz,Anzahl in Krankenhäusern,davon auf Intensivstationen,Abstriche Mobil,Abstriche MEH Diagnosepraxis,Abstriche MEH Drive-in,Abstriche Diagnostikzentrum,Abstriche Sonstige,Abstriche gesamt,haeusliche Quarantaene,Impfungen gesamt
17.03.2020,,,,,,,,15,,,88,,103,,
18.03.2020,169,,1,170,,10,5,,,,,,0,300,
19.03.2020,198,,1,199,,16,7,4,0,0,97,0,101,350,
20.03.2020,202,,1,203,,20,7,7,0,0,66,0,73,350,
21.03.2020,260,,2,262,,22,7,1,0,0,36,0,37,375,
22.03.2020,280,,2,282,,23,7,17,0,0,0,0,17,425,
23.03.2020,248,4,2,254,,26,8,14,0,0,116,0,130,375,
24.03.2020,267,6,2,275,,27,8,14,0,0,113,0,127,400,
25.03.2020,284,6,2,292,,37,12,19,0,79,113,0,211,347,
26.03.2020,283,35,2,320,,46,14,18,0,69,144,0,231,442,
27.03.2020,303,37,2,342,,56,18,39,0,134,86,0,259,493,
28.03.2020,307,52,2,361,,56,22,39,0,55,59,0,153,510,
29.03.2020,325,54,3,382,,64,25,22,0,0,0,0,22,536,
30.03.2020,317,107,4,428,,65,24,22,0,116,110,0,248,490,
31.03.2020,358,107,4,469,,66,27,47,0,142,74,0,263,461,
01.04.2020,323,171,4,498,,71,33,47,0,164,52,0,263,418,
02.04.2020,325,225,4,554,,71,33,16,0,122,66,0,204,383,
03.04.2020,330,241,4,575,,81,33,45,0,142,55,0,242,355,
04.04.2020,341,241,4,586,,83,37,24,0,39,24,0,87,332,
05.04.2020,351,241,4,596,,86,39,22,0,0,0,0,22,332,
06.04.2020,372,279,7,658,,80,37,16,0,115,68,0,199,301,
07.04.2020,380,291,7,678,,80,41,24,0,67,46,0,137,306,
08.04.2020,402,316,9,727,,76,41,30,0,62,39,0,131,217,
09.04.2020,396,338,9,743,,70,41,25,0,58,34,0,117,217,
10.04.2020,382,359,9,750,,73,46,42,0,0,0,0,42,255,
11.04.2020,373,378,9,760,,69,45,43,0,28,15,0,86,255,
12.04.2020,374,387,10,771,,66,46,3,0,8,13,0,24,226,
13.04.2020,385,390,13,788,,71,47,14,0,85,36,0,135,226,
14.04.2020,342,458,13,813,,71,45,16,0,108,71,0,195,205,
15.04.2020,351,485,14,850,,66,42,16,0,59,33,0,108,198,
16.04.2020,318,532,14,864,,63,41,14,0,70,42,0,126,223,
17.04.2020,306,562,14,882,,63,39,31,0,56,50,0,137,251,
18.04.2020,302,572,14,888,,65,39,31,0,43,22,0,96,224,
19.04.2020,326,572,14,912,,69,39,39,0,0,0,0,39,193,
20.04.2020,330,581,16,927,,62,35,9,0,118,51,0,178,193,
21.04.2020,263,659,17,939,,57,37,17,0,63,42,0,122,175,
22.04.2020,227,702,20,949,,60,34,32,36,83,0,0,151,172,
23.04.2020,214,723,22,959,,58,27,16,59,90,0,0,165,219,
24.04.2020,222,722,22,966,,53,25,7,59,38,0,0,104,215,
25.04.2020,210,738,22,970,,48,27,7,28,41,0,0,76,209,
26.04.2020,208,749,23,980,,51,28,14,0,0,0,0,14,200,
27.04.2020,215,766,24,1005,,46,26,25,57,98,0,0,180,200,
28.04.2020,209,786,24,1019,,48,25,27,52,68,0,0,147,189,
29.04.2020,219,786,24,1029,,46,24,5,53,76,0,0,134,188,
30.04.2020,194,833,24,1051,,40,20,62,57,51,0,0,170,239,
01.05.2020,184,852,24,1060,,40,23,14,32,70,0,0,116,232,
02.05.2020,187,863,24,1074,,42,22,18,21,46,0,0,85,231,
03.05.2020,180,885,24,1089,,42,23,20,21,46,0,0,87,231,
04.05.2020,179,886,24,1089,,38,21,20,94,112,0,0,226,240,
05.05.2020,175,913,25,1113,,36,16,30,55,68,0,0,153,232,
06.05.2020,197,925,25,1147,,37,18,20,53,104,0,0,177,360,
07.05.2020,197,933,26,1156,,32,15,20,52,81,0,0,153,340,
08.05.2020,197,939,27,1163,,37,15,7,49,69,0,0,125,308,
09.05.2020,207,943,27,1177,,36,15,18,0,0,0,0,18,315,
10.05.2020,214,943,27,1184,,35,15,7,0,0,0,0,7,322,
11.05.2020,195,976,28,1199,,33,16,7,99,144,0,0,250,332,
12.05.2020,187,989,28,1204,,31,15,29,54,83,0,5,171,324,
13.05.2020,208,998,28,1234,,35,15,16,61,110,0,39,226,310,
14.05.2020,202,1021,28,1251,,36,13,9,60,72,0,226,367,322,
