Datum, Aktueller Tag mobil, Aktueller Tag mobil 1. Impfung, Aktueller Tag mobil 2. Impfung, Aktueller Tag mobil 3. Impfung, Aktueller Tag mobil 4. Impfung, Aktueller Tag Impfstelle, Aktueller Tag Impfstelle 1. Impfung, Aktueller Tag Impfstelle 2. Impfung, Aktueller Tag Impfstelle 3. Impfung, Aktueller Tag Gesamt, Aktueller Tag Gesamt 1. Impfung, Aktueller Tag Gesamt 2. Impfung, Aktueller Tag Gesamt 3. Impfung, Aktueller Tag Gesamt 4. Impfung,Gesamt mobil,Gesamt mobil 1. Impfung,Gesamt mobil 2. Impfung,Gesamt mobil 3. Impfung,Gesamt mobil 4. Impfung,Gesamt Impfstelle,Gesamt Impfstelle 1. Impfung,Gesamt Impfstelle 2. Impfung,Gesamt Impfstelle 3. Impfung,Gesamt Impfungen,Gesamt Impfungen 1. Impfung,Gesamt Impfungen 2. Impfung,Gesamt Impfungen 3. Impfung,Gesamt Impfungen 4. Impfung,Gesamtimpfungen Arztpraxen ,Gesamtimpfungen Arztpraxen  1. Impfung,Gesamtimpfungen Arztpraxen  2. Impfung,Gesamtimpfungen Arztpraxen  3. Impfung,Gesamtimpfungen Arztpraxen  4. Impfung
27.12.2020,180,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,
28.12.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.12.2020,422,,,,,,,,,,,,,,602,,,,,,,,,,,,,,,,,,
30.12.2020,1194,,,,,,,,,1194,,,,,1796,,,,,,,,,1796,,,,,,,,,
31.12.2020,750,,,,,,,,,750,,,,,2546,,,,,,,,,2546,,,,,,,,,
01.01.2021,0,,,,,,,,,0,,,,,2546,,,,,0,,,,2546,,,,,,,,,
02.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.2021,247,,,,,,,,,247,,,,,4521,,,,,0,,,,4521,,,,,,,,,
09.01.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
