Tag;Januar;Februar;Maerz;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;334;;;;;;;;;;;
2;315;;;;;;;;;;;
3;294;;;;;;;;;;;
4;269;;;;;;;;;;;
5;240;;;;;;;;;;;
6;223;;;;;;;;;;;
7;210;;;;;;;;;;;
8;202;;;;;;;;;;;
9;195;;;;;;;;;;;
10;186;;;;;;;;;;;
11;180;;;;;;;;;;;
12;171;;;;;;;;;;;
13;176;;;;;;;;;;;
14;184;;;;;;;;;;;
15;188;;;;;;;;;;;
16;199;;;;;;;;;;;
17;254;;;;;;;;;;;
18;338;;;;;;;;;;;
19;323;;;;;;;;;;;
20;295;;;;;;;;;;;
21;291;;;;;;;;;;;
22;301;;;;;;;;;;;
23;326;;;;;;;;;;;
24;412;;;;;;;;;;;
25;446;;;;;;;;;;;
26;462;;;;;;;;;;;
27;441;;;;;;;;;;;
28;406;;;;;;;;;;;
29;397;;;;;;;;;;;
30;489;;;;;;;;;;;
31;630;;;;;;;;;;;
