Tag,Januar,Februar,Maerz,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
1,459,214,344,133,246,168,165,68,,,,
2,482,236,317,138,225,155,153,68,,,,
3,478,256,294,141,210,149,142,64,,,,
4,446,274,278,165,200,144,153,61,,,,
5,460,286,263,179,195,143,164,60,,,,
6,605,302,253,188,183,149,157,57,,,,
7,643,320,237,194,186,158,146,60,,,,
8,609,390,225,203,185,181,138,53,,,,
9,557,482,212,222,181,185,143,49,,,,
10,539,501,200,285,192,183,144,51,,,,
11,562,454,192,484,186,191,141,51,,,,
12,534,410,184,541,179,193,129,45,,,,
13,485,376,175,472,168,185,122,43,,,,
14,436,348,172,405,166,180,110,37,,,,
15,394,332,170,360,161,166,101,34,,,,
16,359,318,168,325,163,158,95,34,,,,
17,331,310,175,295,170,148,88,31,,,,
18,311,333,182,273,173,140,82,33,,,,
19,294,370,173,254,168,139,77,31,,,,
20,276,391,164,238,173,132,77,34,,,,
21,269,416,159,221,179,140,74,38,,,,
22,263,426,153,208,186,136,81,44,,,,
23,253,459,148,200,185,132,83,66,,,,
24,244,466,144,196,182,132,81,108,,,,
25,233,456,140,195,183,140,81,112,,,,
26,225,431,135,198,192,148,75,108,,,,
27,222,402,133,210,191,167,71,98,,,,
28,221,367,129,223,196,183,71,95,,,,
29,215,,127,251,190,185,69,90,,,,
30,210,,126,256,188,180,68,97,,,,
31,208,,126,,177,,68,97,,,,

