Tag;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;400;232;171;356;311;230;126;193;229;132;314;
2;406;228;166;405;338;220;122;199;301;128;330;
3;395;234;157;473;335;211;122;227;307;122;317;
4;368;248;153;517;324;207;127;228;286;120;297;
5;343;275;148;517;324;203;128;232;262;120;285;
6;329;294;145;478;324;203;123;232;238;116;287;
7;328;298;143;437;311;199;119;217;215;112;309;
8;320;300;145;400;301;194;124;221;200;105;333;
9;313;286;148;370;304;192;117;242;190;99;342;
10;325;266;184;344;310;189;115;257;181;96;336;
11;353;246;330;324;348;184;109;250;171;92;332;
12;390;228;387;305;393;176;108;237;166;89;332;
13;457;215;397;294;402;169;106;229;161;91;343;
14;500;203;382;308;420;161;102;211;172;90;355;
15;524;195;371;323;419;157;110;199;169;86;401;
16;541;187;412;319;402;153;115;201;159;81;506;
17;598;182;456;313;384;150;134;208;152;81;554;
18;615;175;455;304;368;148;147;209;149;82;601;
19;597;177;425;313;360;146;148;213;143;80;639;
20;536;176;386;335;354;143;135;202;133;81;660;
21;476;182;354;332;360;141;118;181;132;90;677;
22;425;182;330;316;346;138;112;166;137;117;668;
23;384;177;313;304;323;162;107;152;144;123;645;
24;340;179;300;295;307;161;103;138;151;117;610;
25;317;178;288;294;298;160;101;131;152;110;571;
26;299;177;295;284;284;158;96;137;151;116;545;
27;288;174;316;280;272;159;122;136;150;133;527;
28;278;170;353;281;264;154;141;143;147;190;518;
29;267;;377;281;253;142;170;162;142;219;503;
30;254;;379;291;246;131;193;171;139;234;507;
31;243;;352;;238;;190;188;;283;;
