Monat,Hoechster Wasserstand,Niedrigster Wasserstand,Durchschnittlicher Wasserstand
Jan 1996,437,153,257
Feb 1996,422,126,207
Mrz 1996,270,129,187
Apr 1996,255,147,177
Mai 1996,381,144,223
Jun 1996,375,191,251
Jul 1996,446,178,259
Aug 1996,263,167,206
Sep 1996,234,128,157
Okt 1996,297,117,187
Nov 1996,461,226,332
Dez 1996,523,288,371
Jan 1997,310,162,227
Feb 1997,693,196,336
Mrz 1997,791,242,360
Apr 1997,254,151,197
Mai 1997,283,202,249
Jun 1997,403,186,263
Jul 1997,393,328,359
Aug 1997,349,180,250
Sep 1997,222,111,179
Okt 1997,209,87,139
Nov 1997,193,98,138
Dez 1997,500,114,289
Jan 1998,473,245,361
Feb 1998,237,152,169
Mrz 1998,418,186,264
Apr 1998,386,186,312
Mai 1998,367,179,240
Jun 1998,287,186,221
Jul 1998,218,145,185
Aug 1998,179,98,138
Sep 1998,454,146,257
Okt 1998,733,205,312
Nov 1998,907,327,567
Dez 1998,566,235,355
Jan 1999,499,275,347
Feb 1999,854,296,453
Mrz 1999,708,409,557
Apr 1999,522,357,421
Mai 1999,586,359,467
Jun 1999,501,368,448
Jul 1999,423,259,348
Aug 1999,287,222,251
Sep 1999,235,133,178
Okt 1999,307,183,241
Nov 1999,313,199,230
Dez 1999,759,191,451
Jan 2000,684,240,372
Feb 2000,636,367,499
Mrz 2000,639,338,454
Apr 2000,483,272,338
Mai 2000,337,273,307
Jun 2000,415,224,302
Jul 2000,434,207,318
Aug 2000,376,229,302
Sep 2000,315,206,246
Okt 2000,344,221,268
Nov 2000,410,213,337
Dez 2000,400,261,326
Jan 2001,621,258,410
Feb 2001,670,282,396
Mrz 2001,905,268,595
Apr 2001,685,478,536
Mai 2001,551,313,409
Jun 2001,428,301,367
Jul 2001,390,282,322
Aug 2001,273,174,232
Sep 2001,445,175,303
Okt 2001,313,194,251
Nov 2001,440,172,264
Dez 2001,581,209,342
Jan 2002,687,198,385
Feb 2002,795,327,542
Mrz 2002,823,310,535
Apr 2002,415,224,284
Mai 2002,556,251,361
Jun 2002,369,262,305
Jul 2002,380,228,269
Aug 2002,395,221,289
Sep 2002,394,173,247
Okt 2002,539,218,332
Nov 2002,740,381,581
Dez 2002,571,313,435
Jan 2003,933,369,549
Feb 2003,531,238,361
Mrz 2003,417,208,296
Apr 2003,252,168,197
Mai 2003,277,183,232
Jun 2003,245,157,206
Jul 2003,187,110,146
Aug 2003,154,71,98
Sep 2003,120,39,77
Okt 2003,243,42,140
Nov 2003,163,97,125
Dez 2003,213,99,158
Jan 2004,753,117,372
Feb 2004,429,209,305
Mrz 2004,290,167,211
Apr 2004,288,183,216
Mai 2004,451,189,258
Jun 2004,364,198,268
Jul 2004,231,183,210
Aug 2004,294,145,189
Sep 2004,280,113,174
Okt 2004,311,136,192
Nov 2004,328,177,238
Dez 2004,347,120,199
Jan 2005,494,207,295
Feb 2005,654,197,336
Mrz 2005,405,186,285
Apr 2005,473,274,354
Mai 2005,410,279,333
Jun 2005,278,172,221
Jul 2005,232,157,197
Aug 2005,421,164,233
Sep 2005,338,133,229
Okt 2005,240,106,151
Nov 2005,128,81,98
Dez 2005,223,84,153
Jan 2006,271,104,163
Feb 2006,514,94,214
Mrz 2006,694,180,364
Apr 2006,658,370,496
Mai 2006,474,287,355
Jun 2006,518,240,332
